I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
9,3,0.13525176,0.06697636,2.6773794,0.16134062
9,4,-0.12007617,0.04819499,5.26738093,0.71486114
9,5,-0.12074339,0.06990516,-0.91983089,0.19091938
9,6,-0.17596741,0.0638213,4.98498,0.64668083
9,7,-0.01327765,0.06116716,-0.86333732,0.18425872
9,8,-0.53365317,0.08177962,9.34403924,1.16647341
9,9,1.41165442,0.15126212,10.06730072,1.14853248
9,10,0.11215649,0.04988695,8.55277376,1.03267646
9,11,0.38649915,0.23938576,-0.34990845,0.11958391
9,12,0.06332338,0.0401839,-5.95898781,0.53591629
9,13,0.17648459,0.05002744,-9.32178278,0.93708476
9,14,-0.1266345,0.05775957,-9.05226096,0.87931839
9,15,-0.07194277,0.02893539,-8.64255559,0.81405244
9,16,-0.13415765,0.02647203,-8.50611816,0.81301517
9,17,-0.01149468,0.02838739,-5.36637163,0.48028778
9,18,0.02658642,0.00961941,-4.75158942,0.62499064
9,19,-0.00592404,0.01624717,-6.41442092,0.66291045
9,20,-0.05405982,0.01806313,-4.82976305,0.83317457
9,21,-0.0265807,0.05840938,4.26388745,0.6564491
9,22,0.19469701,0.09383352,3.39813286,0.33575645
9,23,0.02482843,0.01843706,2.07786166,0.35406243
9,24,-0.10849147,0.04151041,5.59329575,0.56792521
9,25,-0.05821175,0.03849919,4.39979946,0.39357202
9,26,0.01763089,0.05886457,3.98027557,0.56574534
9,27,0.22169107,0.12490032,4.06203727,0.62498493
9,28,-0.16411398,0.24431516,4.54561482,0.88494165
9,29,-0.01838588,0.04688169,4.05649171,0.51995755
9,30,-0.25583509,0.09281883,4.30333368,0.73114957
9,31,0.09083587,0.07500018,1.66987917,0.48300421
9,32,-0.04765685,0.02270063,6.86641144,1.00367056
9,33,0.02247336,0.03091826,5.70877361,0.69075916
9,34,0.11066977,0.03760246,6.5891237,1.08719251
9,35,-0.12449698,0.03068386,6.55563791,1.09518933
9,36,-0.11873507,0.04920789,6.0722626,0.81812653
